stat,window,avg_type,mae,rmse,r2
FTM,42.0,ewma,4.701257857904517,5.874831911846627,0.03975326074707353
FTM,43.0,ewma,4.701035410792157,5.874289936367897,0.039930425366653144
FTM,44.0,ewma,4.700837758987442,5.873797180794907,0.04009148646398164
FTM,45.0,ewma,4.700653617644085,5.873349863704438,0.04023768393059357
FTM,46.0,ewma,4.700501551616229,5.872944548735747,0.040370144151634424
FTM,47.0,ewma,4.700368836908248,5.872578107174473,0.04048989235943101
FTM,48.0,ewma,4.7002552202365,5.8722476852740115,0.04059786341685789
FTM,49.0,ewma,4.700150827400272,5.871950675628762,0.040694911258601585
FTM,50.0,ewma,4.700054692395803,5.871684692024732,0.040781817181333
FTM,17.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
FTM,18.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
FTM,19.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
FTM,20.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
FTM,21.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
FTM,22.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
FTM,23.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
FTM,24.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
FTM,25.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
FTM,26.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
FTM,27.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
FTM,28.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
FTM,29.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
FTM,30.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
FTM,31.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
FTM,32.0,ewma,4.798821962968647,5.972525644058138,0.0075514607989696225
